City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Windspeed (mph)
diamantino,-14.4086,-56.4461,72.10400000000006,89,99,2.21
kemijarvi,66.7131,27.4306,15.512000000000057,96,99,2.81
khonuu,NA,NA,NA,NA,NA,NA
abalak,58.1286,68.5944,-7.311999999999955,91,100,3.59
sakrand,26.1384,68.2736,66.2,59,0,3.09
niamey,13.5137,2.1098,73.4,15,0,1.03
whitehorse,60.7161,-135.0538,-11.199999999999946,77,1,1.54
palestine,31.9216,35.2033,50.39600000000005,87,0,1.03
labuhan,-6.8844,112.2051,82.50800000000001,79,100,3.99
mentougou,39.9392,116.0917,46.004000000000055,81,100,1.14
ciudad bolivar,8.1222,-63.5497,77.61200000000005,74,31,6.82
utete,-7.986,38.758,74.46200000000006,94,100,0.49
sao lourenco do sul,-31.3653,-51.9783,69.00800000000001,95,100,2.83
agadez,19.75,10.25,60.332000000000015,28,0,4.92
kyaikkami,16.08,97.5675,78.54800000000003,64,85,0.93
sentyabrskiy,NA,NA,NA,NA,NA,NA
sakaiminato,35.55,133.2333,55.022000000000034,51,40,2.06
itaituba,-4.2761,-55.9836,74.55200000000008,96,31,0.51
willmar,45.1219,-95.0433,-12.027999999999963,64,1,0.78
wewak,-3.5534,143.6268,79.62800000000007,87,99,5.49
calama,-22.4667,-68.9333,55.4,58,0,4.12
nepomuceno,-21.2358,-45.2358,66.092,97,100,1.83
karamken,NA,NA,NA,NA,NA,NA
abnub,27.2696,31.1511,51.8,76,0,4.63
chacabuco,-34.6417,-60.4739,64.99400000000007,95,48,2.68
samusu,NA,NA,NA,NA,NA,NA
amahai,-3.3333,128.9167,87.78200000000001,58,100,1.57
berlevag,70.8578,29.0864,16.574000000000012,93,54,4.83
lac du bonnet,50.2536,-96.0612,-21.999999999999957,75,100,1.4
buala,-8.145,159.5921,80.18600000000006,85,100,5.41
marsa matruh,31.3525,27.2453,53.6,82,40,2.57
chara,56.9064,118.2631,-7.617999999999981,80,100,2.44
kawalu,-7.3817,108.2082,83.76800000000009,70,62,0.7
ngunguru,-35.6167,174.5,68.01800000000009,61,0,4.35
canora,51.6333,-102.4343,-27.399999999999956,62,1,2.57
malwan,NA,NA,NA,NA,NA,NA
anadyr,64.75,177.4833,-14.349999999999952,70,40,9
kijang,35.2442,129.2139,53.6,37,0,1.54
kerki,NA,NA,NA,NA,NA,NA
isla mujeres,21.2311,-86.731,78.674,83,40,5.14
namatanai,-3.6667,152.4333,84.72200000000004,71,60,3.26
karratha,-20.7377,116.8463,84.75800000000001,57,27,5.48
lasa,46.6166,10.7002,10.399999999999999,92,90,4.12
viedma,-40.8135,-62.9967,68.0,87,100,6.27
baherden,38.4362,57.4316,50.68399999999999,49,0,3.37
noumea,-22.2763,166.4572,84.2,70,75,5.66
acajutla,13.5928,-89.8275,77.18000000000004,73,0,2.37
kayerkan,69.3497,87.7602,-23.36799999999998,85,100,1.43
burnie,-41.0667,145.9167,69.33200000000002,49,1,3.64
krasnoborsk,61.5598,45.934,-12.927999999999962,89,92,1.53
luziania,-16.2525,-47.9503,64.20200000000008,100,90,1.03
champerico,14.3,-91.9167,65.76800000000009,91,16,3.55
abha,18.2164,42.5053,50.81000000000008,81,0,0.31
kakching,24.4833,93.9833,55.4,76,40,1.05
abu samrah,35.3029,37.1841,47.39000000000002,83,0,2.16
largo,27.9095,-82.7873,70.484,94,100,1.84
awbari,26.5921,12.7805,54.17600000000009,39,0,3.71
moram,17.8,76.4667,70.23200000000001,48,79,4.85
naze,28.3667,129.4833,69.8,83,75,8.75
kalabo,-14.97,22.6814,67.38800000000005,88,96,1.6
vao,-22.6667,167.4833,79.26800000000009,74,9,3.1
yulara,-25.2406,130.9889,71.6,64,90,7.72
kyzyl-suu,42.3414,78.0056,33.062000000000054,75,100,2.49
yeppoon,-23.1333,150.7333,91.4,33,0,3.6
kegayli,NA,NA,NA,NA,NA,NA
weiser,44.251,-116.9693,27.446000000000048,80,90,1.54
souillac,-20.5167,57.5167,78.8,78,40,5.14
topolevo,48.4994,135.1975,24.8,68,0,6
torrington,41.8007,-73.1212,24.206000000000028,36,90,1.54
garowe,8.4054,48.4845,58.24400000000007,86,9,2.37
buin,-33.7333,-70.75,66.66800000000009,82,20,4.12
pangody,65.85,74.4859,-24.771999999999935,86,100,1.91
bullhead city,35.1478,-114.5683,60.854000000000056,77,1,2.57
mandalgovi,45.7625,106.2708,7.862000000000059,71,100,4.46
orlik,52.5178,99.825,-12.423999999999964,75,100,0.68
dom pedrito,-30.9828,-54.6731,66.05600000000003,93,41,1.7
hamilton,39.1834,-84.5333,25.052000000000078,68,90,3.09
port hedland,-20.3167,118.5667,89.6,55,90,4.63
kerema,-7.9631,145.7785,84.27200000000003,74,67,4.16
tabuk,17.4189,121.4443,76.82000000000006,71,57,2.38
ninghai,29.2892,121.4247,60.008,99,51,1.91
tshikapa,-6.4167,20.8,70.86200000000005,92,99,0.97
yian,NA,NA,NA,NA,NA,NA
dipkarpaz,NA,NA,NA,NA,NA,NA
mianyang,31.4593,104.7542,62.33000000000004,48,90,3.09
astana,51.1801,71.446,21.2,86,90,3
gushi,34.6425,109.5843,53.76200000000006,44,100,2.69
fukue,32.6881,128.8419,62.6,55,40,3.6
kosice,48.6667,21.3333,9.014000000000031,78,20,1.54
jamshedpur,22.8,86.1833,60.8,72,40,0.88
pangnirtung,66.1451,-65.7125,-18.201999999999977,82,99,0.06
moussoro,13.6408,16.4901,69.29600000000005,24,8,4.66
homer,59.6425,-151.5483,32.81000000000008,80,75,2.06
dubrovnik,42.6481,18.0922,37.4,38,20,11.83
yakeshi,49.2833,120.7333,-1.7139999999999844,88,30,7.79
nikolsk,53.7189,46.0712,34.016000000000005,93,100,5.98
eldorado,-23.7869,-54.2836,68.61200000000005,95,84,1.74
meulaboh,4.1363,96.1285,84.70400000000005,68,4,0.27
mouila,-1.8685,11.0559,73.94000000000003,95,100,0.61
isangel,-19.55,169.2667,82.4,83,90,2.17
sarahan,31.5167,77.8,44.22200000000004,42,100,3.53
hervey bay,-25.2986,152.8535,85.35200000000007,48,48,4.12
muisne,0.6,-80.0333,77.36000000000008,82,99,0.52
kitakata,37.65,139.8667,53.11400000000003,57,0,3.09
mattru,7.6244,-11.8332,74.49800000000002,91,0,0.16
walvis bay,-22.9575,14.5053,68.97200000000004,88,43,3.09
myaundzha,63.0494,147.1858,10.058000000000003,92,100,0.93
camacupa,-12.0167,17.4833,59.0,83,3,1.8
auki,-8.7676,160.7034,78.71000000000008,90,100,5.1
ust-kuyga,70.0167,135.6,-9.813999999999979,84,94,1.06
toliary,NA,NA,NA,NA,NA,NA
herat,34.5,62,39.2,56,0,1.03
mochudi,-24.4167,26.15,68.0,94,0,0.51
yatou,37.15,122.3833,53.76200000000006,53,0,3.99
corn island,12.1694,-83.0418,79.46600000000001,77,47,5.83
krasnoselkup,65.7,82.4667,-35.98599999999996,82,1,2.05
hovd,48.0056,91.6419,8.726000000000091,88,0,1.33
hailun,47.45,126.9333,17.222000000000037,92,100,2.44
tabiauea,NA,NA,NA,NA,NA,NA
staritsa,56.5075,34.9354,5.756000000000029,93,100,9.39
northam,51.0333,-4.2167,35.312000000000054,78,100,3.58
thinadhoo,0.5333,72.9333,82.61600000000001,67,100,4.4
dondo,-19.6094,34.7431,77.0,88,75,3.09
parati,-23.2178,-44.7131,72.28399999999999,82,100,1.42
dossor,47.5272,52.9811,34.03399999999999,89,100,9.04
shitanjing,39.2342,106.3439,39.254000000000055,56,80,3.49
alice springs,-23.7,133.8833,78.42200000000004,94,90,4.12
constantine,36.365,6.6147,51.8,66,40,4.12
kanigiri,15.4,79.5167,70.89800000000002,66,81,1.05
qobustan,40.0824,49.412,44.6,93,75,6.17
sola,-13.8833,167.55,81.158,81,100,4.79
broken hill,-31.95,141.4333,71.6,37,0,7.2
saint-francois,46.4154,3.9054,22.04600000000005,79,0,1.54
zhukovo,55.0318,36.744,6.800000000000001,78,90,6
raudeberg,61.9875,5.1352,26.99600000000005,44,0,5.53
nador,35.174,-2.9287,53.978000000000065,59,0,8.23
lavrentiya,65.5833,-171,-5.151999999999973,89,100,7.93
kesinga,20.2,83.2333,71.15,47,4,1.06
baykit,61.67,96.37,-17.751999999999974,83,97,0.64
utiroa,NA,NA,NA,NA,NA,NA
carbonia,39.1672,8.5222,55.274000000000015,94,40,2.06
trani,41.2727,16.4154,41.342,93,75,2.06
lage,51.9922,8.793,8.222000000000037,85,0,1.03
shimoda,34.6667,138.95,55.004000000000055,72,75,3.09
kurumkan,54.3,110.3,-7.2939999999999685,81,26,0.08
nerchinskiy zavod,51.3088,119.61,-3.7479999999999762,88,21,2.93
elliot lake,46.3834,-82.6331,-5.799999999999947,77,1,2.06
lekhovon,NA,NA,NA,NA,NA,NA
bhilwara,25.35,74.6333,63.62600000000009,29,37,1.27
lummen,50.9877,5.1912,19.79600000000005,68,0,4.12
cravo norte,6.3017,-70.2041,83.192,49,29,2.55
naters,46.3254,7.9891,25.394000000000073,88,97,2.68
kushmurun,52.4503,64.6311,26.528000000000066,98,100,2.14
nyzy,50.7828,34.7844,5.972000000000037,93,100,6.56
dosso,13.049,3.1937,72.35600000000002,18,0,4.32
kyaukse,21.6,96.1333,80.29400000000007,30,20,0.75
ballina,-28.8667,153.5667,86.18000000000004,61,84,5.66
chandler,33.3062,-111.8412,61.71800000000009,23,40,6.69
inderborskiy,NA,NA,NA,NA,NA,NA
itupiranga,-5.1347,-49.3267,74.93000000000004,95,100,1.48
makungu,-8.7333,35.2833,64.23800000000004,84,100,1.89
bentiu,9.2333,29.8333,72.12200000000004,23,1,2.5
north bend,43.4065,-124.2243,50.75600000000003,87,90,4.63
lashio,22.9333,97.75,71.042,41,19,0.32
baglung,28.2719,83.5898,62.294000000000075,42,0,0.38
ambilobe,-13.2,49.05,72.96800000000009,93,91,1.31
panlaitan,12.1191,119.8486,80.31200000000005,84,58,6.72
ust-maya,60.4167,134.5333,10.850000000000001,91,46,1.19
ramanuj ganj,23.8,83.7,69.85400000000006,30,0,1.09
nuuk,64.1835,-51.7216,18.302000000000078,86,90,6.17
vigrestad,58.5667,5.7,13.532000000000018,92,0,2.1
bury saint edmunds,NA,NA,NA,NA,NA,NA
batouri,4.4333,14.3667,65.87600000000009,31,56,1.28
